cliente_id,comercio_id,n_transacciones,monto_total,monto_promedio,fraudes,tasa_fraude,score_modelo_promedio,peso,peso_riesgo
cliente_0009577869,comercio_0059907409,1,84.8,84.8,0,0.0,0.00022764097,1,1.000227689743042
cliente_0009577869,comercio_0304345686,2,7.11,3.555,0,0.0,0.0011954367,2,2.0023908615112305
cliente_0009577869,comercio_0460934538,1,23.58,23.58,0,0.0,0.008283118,1,1.0082831382751465
cliente_0009577869,comercio_0675525750,1,2.88,2.88,0,0.0,2.3641303e-05,1,1.000023603439331
cliente_0009577869,comercio_0763297353,1,54.71,54.71,0,0.0,0.00030748732,1,1.0003074407577515
cliente_0009577869,comercio_0848636013,1,149.51,149.51,0,0.0,0.0008622987,1,1.0008622407913208
cliente_0009577869,comercio_0862765991,1,5.24,5.24,0,0.0,0.00070152595,1,1.0007015466690063
cliente_0009577869,comercio_1919164434,1,12.83,12.83,0,0.0,0.02461827,1,1.0246182680130005
cliente_0009577869,comercio_2117657364,1,5.15,5.15,0,0.0,0.0494717,1,1.0494717359542847
cliente_0009577869,comercio_2188837209,1,4.64,4.64,0,0.0,5.310738e-05,1,1.00005304813385
cliente_0009577869,comercio_3811132389,1,127.87,127.87,0,0.0,0.00021108481,1,1.0002111196517944
cliente_0009577869,comercio_4715580679,2,204.03,102.015,0,0.0,0.00060101005,2,2.00120210647583
cliente_0009577869,comercio_4735535653,1,106.6,106.6,0,0.0,0.0001638275,1,1.0001637935638428
cliente_0009577869,comercio_4992661599,1,10.03,10.03,0,0.0,2.8021792e-05,1,1.0000280141830444
cliente_0009577869,comercio_5551255717,1,108.83,108.83,0,0.0,0.011678851,1,1.0116788148880005
cliente_0009577869,comercio_5566579789,1,83.17,83.17,0,0.0,0.0017903671,1,1.0017904043197632
cliente_0009577869,comercio_5572015899,1,109.17,109.17,0,0.0,0.00011745035,1,1.0001174211502075
cliente_0009577869,comercio_5871633033,1,74.49,74.49,0,0.0,0.00050558837,1,1.0005055665969849
cliente_0009577869,comercio_6573442775,1,37.76,37.76,0,0.0,0.0013049459,1,1.0013049840927124
cliente_0009577869,comercio_6584952412,2,57.2,28.6,0,0.0,0.0021759744,2,2.004351854324341
cliente_0009577869,comercio_6749056662,2,220.7,110.35,0,0.0,0.00013827602,2,2.000276565551758
cliente_0009577869,comercio_6753265829,1,86.18,86.18,0,0.0,5.0236435e-05,1,1.0000501871109009
cliente_0009577869,comercio_7005495989,1,96.26,96.26,0,0.0,8.4096064e-05,1,1.0000840425491333
cliente_0009577869,comercio_7384275076,1,2.12,2.12,0,0.0,0.005258547,1,1.005258560180664
cliente_0009577869,comercio_7684699083,1,9.69,9.69,0,0.0,0.008106982,1,1.0081069469451904
cliente_0009577869,comercio_7967921551,1,20.51,20.51,0,0.0,0.009727851,1,1.0097278356552124
cliente_0009577869,comercio_8209900302,1,9.43,9.43,0,0.0,1.8276505e-05,1,1.0000182390213013
cliente_0009577869,comercio_8282058254,1,96.66,96.66,0,0.0,0.00023845416,1,1.0002384185791016
cliente_0009577869,comercio_8330285299,1,67.9,67.9,0,0.0,0.008612176,1,1.0086121559143066
cliente_0009577869,comercio_8675755465,1,24.14,24.14,0,0.0,0.0004994591,1,1.0004994869232178
cliente_0009577869,comercio_8755001233,1,7.08,7.08,0,0.0,0.00018032212,1,1.0001803636550903
cliente_0009577869,comercio_9173975227,1,4.68,4.68,0,0.0,4.833615e-06,1,1.0000048875808716
cliente_0009577869,comercio_9521770393,1,67.96,67.96,0,0.0,0.00022055587,1,1.000220537185669
cliente_0009577869,comercio_9601097463,1,56.53,56.53,0,0.0,0.00029642473,1,1.0002964735031128
cliente_0009577869,comercio_9653636303,1,148.74,148.74,0,0.0,0.21786933,1,1.2178692817687988
cliente_0009577869,comercio_9792724613,1,25.72,25.72,0,0.0,0.032306064,1,1.0323060750961304
cliente_0009577869,comercio_9970780794,1,87.18,87.18,0,0.0,0.00023346284,1,1.0002334117889404
cliente_0030554736,comercio_0678311647,1,73.35,73.35,0,0.0,0.00086432777,1,1.0008643865585327
cliente_0030554736,comercio_1276563967,1,1229.3,1229.3,0,0.0,0.20812213,1,1.2081221342086792
cliente_0030554736,comercio_2235953546,1,1.55,1.55,0,0.0,0.0033008798,1,1.0033009052276611
cliente_0030554736,comercio_4696771606,1,8.88,8.88,0,0.0,0.008109805,1,1.0081098079681396
cliente_0030554736,comercio_4744000769,1,129.5,129.5,0,0.0,0.00023016742,1,1.0002301931381226
cliente_0030554736,comercio_4887060013,1,11.95,11.95,0,0.0,0.00042734147,1,1.0004273653030396
cliente_0030554736,comercio_5207219562,1,126.14,126.14,0,0.0,0.000109240755,1,1.0001091957092285
cliente_0030554736,comercio_6313914208,1,142.73,142.73,0,0.0,0.0018712877,1,1.0018712282180786
cliente_0030554736,comercio_6316646989,1,5.36,5.36,0,0.0,0.0010917074,1,1.001091718673706
cliente_0030554736,comercio_7559276268,1,54.04,54.04,0,0.0,0.016791565,1,1.016791582107544
cliente_0030554736,comercio_7623626713,1,470.8,470.8,0,0.0,0.03502825,1,1.0350282192230225
cliente_0030554736,comercio_7705467519,1,8.78,8.78,0,0.0,0.00039098295,1,1.0003910064697266
cliente_0030554736,comercio_9665117949,1,46.93,46.93,0,0.0,0.0015705229,1,1.0015705823898315
cliente_0030554736,comercio_9970780794,1,83.92,83.92,0,0.0,0.00025056966,1,1.0002505779266357
cliente_0037076618,comercio_0158954224,1,110.53,110.53,0,0.0,5.892044e-05,1,1.000058889389038
cliente_0037076618,comercio_0868776462,1,59.54,59.54,0,0.0,0.0029300107,1,1.0029300451278687
cliente_0037076618,comercio_0946981146,1,81.94,81.94,0,0.0,0.00012377852,1,1.0001237392425537
cliente_0037076618,comercio_1764266149,1,131.66,131.66,0,0.0,0.00277154,1,1.0027714967727661
cliente_0037076618,comercio_1869089167,1,52.68,52.68,0,0.0,0.007837684,1,1.0078376531600952
cliente_0037076618,comercio_2002899183,1,78.4,78.4,0,0.0,0.0008789058,1,1.000878930091858
cliente_0037076618,comercio_2318733205,1,91.88,91.88,0,0.0,4.820266e-05,1,1.0000481605529785
cliente_0037076618,comercio_3081463251,1,27.44,27.44,0,0.0,0.03880437,1,1.0388044118881226
cliente_0037076618,comercio_3733940630,1,115.24,115.24,0,0.0,0.0038991708,1,1.0038992166519165
cliente_0037076618,comercio_3979760324,1,143.73,143.73,0,0.0,0.002404177,1,1.0024042129516602
cliente_0037076618,comercio_5693811802,1,69.29,69.29,0,0.0,0.00026703384,1,1.0002670288085938
cliente_0037076618,comercio_7005495989,1,92.31,92.31,0,0.0,1.9685838e-05,1,1.0000196695327759
cliente_0037076618,comercio_7368528869,1,68.09,68.09,0,0.0,0.0004512775,1,1.0004513263702393
cliente_0037076618,comercio_8556309105,1,47.77,47.77,0,0.0,0.0026214472,1,1.0026214122772217
cliente_0037076618,comercio_9347659086,1,356.69,356.69,0,0.0,0.004293099,1,1.0042930841445923
cliente_0037076618,comercio_9359225546,1,77.77,77.77,0,0.0,0.0018656115,1,1.0018656253814697
cliente_0037076618,comercio_9444132290,1,54.48,54.48,0,0.0,0.0023170335,1,1.0023170709609985
cliente_0037076618,comercio_9665117949,1,75.24,75.24,0,0.0,0.0022123777,1,1.002212405204773
cliente_0052427593,comercio_0059907409,1,118.34,118.34,0,0.0,0.00052325096,1,1.0005232095718384
cliente_0052427593,comercio_0430539075,1,120.12,120.12,0,0.0,0.0066408925,1,1.006640911102295
cliente_0052427593,comercio_0863647370,1,55.1,55.1,0,0.0,0.00048380453,1,1.000483751296997
cliente_0052427593,comercio_0881783210,1,7.77,7.77,0,0.0,0.0007529,1,1.0007529258728027
cliente_0052427593,comercio_1148487350,1,8.91,8.91,0,0.0,4.1455365e-05,1,1.0000414848327637
cliente_0052427593,comercio_1764266149,1,414.97,414.97,0,0.0,0.028508084,1,1.0285080671310425
cliente_0052427593,comercio_1777506388,1,19.8,19.8,0,0.0,0.0053426325,1,1.0053426027297974
cliente_0052427593,comercio_1885807714,1,118.88,118.88,0,0.0,0.0013127157,1,1.0013127326965332
cliente_0052427593,comercio_2548712848,1,119.21,119.21,0,0.0,0.0015612192,1,1.001561164855957
cliente_0052427593,comercio_3165176574,2,228.07,114.035,0,0.0,0.00038925168,2,2.0007784366607666
cliente_0052427593,comercio_3411897755,1,27.43,27.43,0,0.0,0.008527583,1,1.0085276365280151
cliente_0052427593,comercio_3428262569,2,76.8,38.4,0,0.0,0.00066188804,2,2.001323699951172
cliente_0052427593,comercio_3460529441,1,3.12,3.12,0,0.0,0.28716764,1,1.2871676683425903
cliente_0052427593,comercio_3885073441,1,1.42,1.42,0,0.0,0.0010153479,1,1.001015305519104
cliente_0052427593,comercio_4478644804,1,235.05,235.05,0,0.0,0.005639828,1,1.0056397914886475
cliente_0052427593,comercio_4735535653,1,115.8,115.8,0,0.0,0.0006301233,1,1.0006301403045654
cliente_0052427593,comercio_5055690287,1,6.5,6.5,0,0.0,4.6942852e-05,1,1.000046968460083
