node_id,tipo_nodo,nombre_comercio,categoria_comercio,in_degree,out_degree,degree,weighted_in_degree,weighted_out_degree,weighted_degree,pagerank,pagerank_riesgo
cliente_6590234992,cliente,,,0,21,21,0.0,21.0,21.0,0.0004167183188762027,0.00041671831887620263
cliente_0917079200,cliente,,,0,26,26,0.0,27.0,27.0,0.0004167183188762027,0.00041671831887620263
cliente_8921852628,cliente,,,0,35,35,0.0,38.0,38.0,0.0004167183188762027,0.00041671831887620263
cliente_4946106145,cliente,,,0,24,24,0.0,24.0,24.0,0.0004167183188762027,0.00041671831887620263
cliente_5142688511,cliente,,,0,26,26,0.0,27.0,27.0,0.0004167183188762027,0.00041671831887620263
cliente_1392326847,cliente,,,0,34,34,0.0,34.0,34.0,0.0004167183188762027,0.00041671831887620263
cliente_4824719055,cliente,,,0,42,42,0.0,43.0,43.0,0.0004167183188762027,0.00041671831887620263
cliente_8912665132,cliente,,,0,32,32,0.0,32.0,32.0,0.0004167183188762027,0.00041671831887620263
cliente_3841013935,cliente,,,0,24,24,0.0,24.0,24.0,0.0004167183188762027,0.00041671831887620263
cliente_2230559397,cliente,,,0,24,24,0.0,24.0,24.0,0.0004167183188762027,0.00041671831887620263
cliente_0302344968,cliente,,,0,13,13,0.0,13.0,13.0,0.0004167183188762027,0.00041671831887620263
cliente_8467347997,cliente,,,0,20,20,0.0,20.0,20.0,0.0004167183188762027,0.00041671831887620263
cliente_9170536839,cliente,,,0,34,34,0.0,35.0,35.0,0.0004167183188762027,0.00041671831887620263
cliente_6458257385,cliente,,,0,20,20,0.0,20.0,20.0,0.0004167183188762027,0.00041671831887620263
cliente_8612971253,cliente,,,0,31,31,0.0,33.0,33.0,0.0004167183188762027,0.00041671831887620263
cliente_3146854474,cliente,,,0,30,30,0.0,32.0,32.0,0.0004167183188762027,0.00041671831887620263
cliente_3075256572,cliente,,,0,12,12,0.0,12.0,12.0,0.0004167183188762027,0.00041671831887620263
cliente_1379140450,cliente,,,0,17,17,0.0,17.0,17.0,0.0004167183188762027,0.00041671831887620263
cliente_7692160679,cliente,,,0,20,20,0.0,20.0,20.0,0.0004167183188762027,0.00041671831887620263
cliente_3898559758,cliente,,,0,21,21,0.0,22.0,22.0,0.0004167183188762027,0.00041671831887620263
cliente_5213394747,cliente,,,0,28,28,0.0,28.0,28.0,0.0004167183188762027,0.00041671831887620263
cliente_7547067431,cliente,,,0,18,18,0.0,18.0,18.0,0.0004167183188762027,0.00041671831887620263
cliente_8573151867,cliente,,,0,3,3,0.0,3.0,3.0,0.0004167183188762027,0.00041671831887620263
cliente_1606874726,cliente,,,0,10,10,0.0,10.0,10.0,0.0004167183188762027,0.00041671831887620263
cliente_0801265180,cliente,,,0,19,19,0.0,20.0,20.0,0.0004167183188762027,0.00041671831887620263
cliente_5641933406,cliente,,,0,20,20,0.0,20.0,20.0,0.0004167183188762027,0.00041671831887620263
cliente_3343193694,cliente,,,0,26,26,0.0,26.0,26.0,0.0004167183188762027,0.00041671831887620263
cliente_4025218669,cliente,,,0,30,30,0.0,31.0,31.0,0.0004167183188762027,0.00041671831887620263
cliente_7938637231,cliente,,,0,41,41,0.0,42.0,42.0,0.0004167183188762027,0.00041671831887620263
cliente_4184274099,cliente,,,0,16,16,0.0,16.0,16.0,0.0004167183188762027,0.00041671831887620263
cliente_5149481433,cliente,,,0,42,42,0.0,44.0,44.0,0.0004167183188762027,0.00041671831887620263
cliente_8144408525,cliente,,,0,25,25,0.0,25.0,25.0,0.0004167183188762027,0.00041671831887620263
cliente_3561472214,cliente,,,0,39,39,0.0,40.0,40.0,0.0004167183188762027,0.00041671831887620263
cliente_3606823881,cliente,,,0,52,52,0.0,52.0,52.0,0.0004167183188762027,0.00041671831887620263
cliente_4553857011,cliente,,,0,39,39,0.0,40.0,40.0,0.0004167183188762027,0.00041671831887620263
cliente_5659966936,cliente,,,0,18,18,0.0,18.0,18.0,0.0004167183188762027,0.00041671831887620263
cliente_4687787204,cliente,,,0,22,22,0.0,22.0,22.0,0.0004167183188762027,0.00041671831887620263
cliente_2527761766,cliente,,,0,14,14,0.0,15.0,15.0,0.0004167183188762027,0.00041671831887620263
cliente_1766914626,cliente,,,0,29,29,0.0,31.0,31.0,0.0004167183188762027,0.00041671831887620263
cliente_5442664176,cliente,,,0,37,37,0.0,38.0,38.0,0.0004167183188762027,0.00041671831887620263
cliente_4514467306,cliente,,,0,27,27,0.0,28.0,28.0,0.0004167183188762027,0.00041671831887620263
cliente_4130140101,cliente,,,0,18,18,0.0,18.0,18.0,0.0004167183188762027,0.00041671831887620263
cliente_0940358751,cliente,,,0,45,45,0.0,46.0,46.0,0.0004167183188762027,0.00041671831887620263
cliente_2794139187,cliente,,,0,56,56,0.0,62.0,62.0,0.0004167183188762027,0.00041671831887620263
cliente_9106476303,cliente,,,0,16,16,0.0,16.0,16.0,0.0004167183188762027,0.00041671831887620263
cliente_8475169424,cliente,,,0,28,28,0.0,29.0,29.0,0.0004167183188762027,0.00041671831887620263
cliente_7931024990,cliente,,,0,13,13,0.0,13.0,13.0,0.0004167183188762027,0.00041671831887620263
cliente_0829598388,cliente,,,0,17,17,0.0,17.0,17.0,0.0004167183188762027,0.00041671831887620263
cliente_9258517480,cliente,,,0,44,44,0.0,45.0,45.0,0.0004167183188762027,0.00041671831887620263
cliente_4445974265,cliente,,,0,58,58,0.0,60.0,60.0,0.0004167183188762027,0.00041671831887620263
cliente_5292457920,cliente,,,0,15,15,0.0,15.0,15.0,0.0004167183188762027,0.00041671831887620263
cliente_5444504538,cliente,,,0,31,31,0.0,32.0,32.0,0.0004167183188762027,0.00041671831887620263
cliente_7910444754,cliente,,,0,7,7,0.0,7.0,7.0,0.0004167183188762027,0.00041671831887620263
cliente_4530628465,cliente,,,0,12,12,0.0,12.0,12.0,0.0004167183188762027,0.00041671831887620263
cliente_6230354074,cliente,,,0,37,37,0.0,37.0,37.0,0.0004167183188762027,0.00041671831887620263
cliente_3042425693,cliente,,,0,28,28,0.0,29.0,29.0,0.0004167183188762027,0.00041671831887620263
cliente_2352948859,cliente,,,0,18,18,0.0,18.0,18.0,0.0004167183188762027,0.00041671831887620263
cliente_7702337721,cliente,,,0,19,19,0.0,19.0,19.0,0.0004167183188762027,0.00041671831887620263
cliente_4015184641,cliente,,,0,31,31,0.0,31.0,31.0,0.0004167183188762027,0.00041671831887620263
cliente_2764779521,cliente,,,0,12,12,0.0,13.0,13.0,0.0004167183188762027,0.00041671831887620263
cliente_4349329248,cliente,,,0,33,33,0.0,35.0,35.0,0.0004167183188762027,0.00041671831887620263
cliente_9916876192,cliente,,,0,45,45,0.0,49.0,49.0,0.0004167183188762027,0.00041671831887620263
cliente_5432200852,cliente,,,0,11,11,0.0,11.0,11.0,0.0004167183188762027,0.00041671831887620263
cliente_0268335156,cliente,,,0,34,34,0.0,37.0,37.0,0.0004167183188762027,0.00041671831887620263
cliente_4361399015,cliente,,,0,9,9,0.0,9.0,9.0,0.0004167183188762027,0.00041671831887620263
cliente_0534576703,cliente,,,0,37,37,0.0,40.0,40.0,0.0004167183188762027,0.00041671831887620263
cliente_6287877954,cliente,,,0,16,16,0.0,16.0,16.0,0.0004167183188762027,0.00041671831887620263
cliente_2624902594,cliente,,,0,23,23,0.0,23.0,23.0,0.0004167183188762027,0.00041671831887620263
cliente_1731688325,cliente,,,0,37,37,0.0,39.0,39.0,0.0004167183188762027,0.00041671831887620263
cliente_9223452849,cliente,,,0,21,21,0.0,21.0,21.0,0.0004167183188762027,0.00041671831887620263
cliente_8915418883,cliente,,,0,12,12,0.0,13.0,13.0,0.0004167183188762027,0.00041671831887620263
cliente_4922521077,cliente,,,0,18,18,0.0,18.0,18.0,0.0004167183188762027,0.00041671831887620263
cliente_2155471677,cliente,,,0,14,14,0.0,14.0,14.0,0.0004167183188762027,0.00041671831887620263
cliente_3412060650,cliente,,,0,51,51,0.0,54.0,54.0,0.0004167183188762027,0.00041671831887620263
cliente_0350799092,cliente,,,0,17,17,0.0,17.0,17.0,0.0004167183188762027,0.00041671831887620263
cliente_9240340825,cliente,,,0,40,40,0.0,42.0,42.0,0.0004167183188762027,0.00041671831887620263
