cluster,cantidad_transacciones,porcentaje_total,tipo,tasa_fraude,monto_promedio,monto_mediano
-1,3392,0.6784,ruido,0.11704009433962265,131.86732311320756,49.55
0,11,0.0022,cluster,0.09090909090909091,87.80909090909091,85.33
1,10,0.002,cluster,0.0,68.22999999999999,72.74000000000001
2,34,0.0068,cluster,0.0,95.42647058823528,99.72
3,8,0.0016,cluster,0.125,55.16875,45.79
4,14,0.0028,cluster,0.07142857142857142,64.37928571428571,70.34
5,11,0.0022,cluster,0.09090909090909091,82.64727272727272,67.53
6,9,0.0018,cluster,0.0,57.873333333333335,62.83
7,9,0.0018,cluster,0.0,33.19333333333333,25.32
8,6,0.0012,cluster,0.0,130.28,98.91499999999999
9,15,0.003,cluster,0.0,19.618,5.33
10,8,0.0016,cluster,0.5,209.40500000000003,234.62
11,20,0.004,cluster,0.0,76.608,58.254999999999995
12,31,0.0062,cluster,0.06451612903225806,56.84290322580645,53.81
13,38,0.0076,cluster,0.05263157894736842,57.51052631578946,26.475
14,16,0.0032,cluster,0.0625,91.8225,62.42
15,59,0.0118,cluster,0.0,39.48169491525424,18.03
16,13,0.0026,cluster,0.07692307692307693,10.91230769230769,8.84
17,29,0.0058,cluster,0.034482758620689655,75.39068965517242,32.58
18,21,0.0042,cluster,0.047619047619047616,154.53095238095239,137.34
19,5,0.001,cluster,0.0,18.298000000000002,15.78
20,6,0.0012,cluster,0.0,63.10166666666668,52.724999999999994
21,9,0.0018,cluster,0.0,95.33555555555556,104.73
22,14,0.0028,cluster,0.14285714285714285,52.575,32.765
23,20,0.004,cluster,0.0,65.251,62.045
24,19,0.0038,cluster,0.0,31.595789473684214,14.29
25,7,0.0014,cluster,0.0,11.468571428571428,7.84
26,13,0.0026,cluster,0.23076923076923078,53.533846153846156,60.74
27,36,0.0072,cluster,0.0,59.05027777777778,54.14
28,15,0.003,cluster,0.06666666666666667,108.23799999999999,65.68
29,14,0.0028,cluster,0.0,40.771428571428565,38.825
30,7,0.0014,cluster,0.14285714285714285,39.69857142857143,28.39
31,10,0.002,cluster,0.0,6.316000000000001,6.82
32,13,0.0026,cluster,0.0,35.096923076923076,9.25
33,5,0.001,cluster,0.0,71.074,67.4
34,14,0.0028,cluster,0.07142857142857142,109.84000000000002,96.39500000000001
35,12,0.0024,cluster,0.08333333333333333,51.53,43.16
36,19,0.0038,cluster,0.0,60.24210526315789,60.46
37,17,0.0034,cluster,0.0,68.10882352941177,66.06
38,14,0.0028,cluster,0.07142857142857142,24.627857142857142,16.845
39,21,0.0042,cluster,0.0,47.97142857142857,30.93
40,6,0.0012,cluster,0.0,27.935000000000002,29.485
41,8,0.0016,cluster,0.5,188.35,186.155
42,18,0.0036,cluster,0.16666666666666666,119.73111111111113,102.445
43,6,0.0012,cluster,0.0,94.54,82.49000000000001
44,5,0.001,cluster,0.0,58.482000000000006,60.96
45,14,0.0028,cluster,0.0,85.10571428571428,66.18
46,9,0.0018,cluster,0.1111111111111111,20.105555555555554,9.05
47,5,0.001,cluster,0.2,157.45,118.98
